Prange's algorithm
Test ID          Outcome         Expected                Result          iterations      time
0                True    [0 0 0 1 1 0 0 0]       [0 0 0 1 1 0 0 0]       11              0.009842157363891602s
1                True    [0 1 0 1 1 0 1 1]       [0 1 0 1 1 0 1 1]       6               0.014016866683959961s
2                True    [1 1 0 0 1 1 0 1]       [1 1 0 0 1 1 0 1]       3               0.0s
3                True    [0 1 0 0 1 0 0 1]       [0 1 0 0 1 0 0 1]       26              0.03168225288391113s
4                True    [1 0 1 0 0 0 0 1]       [1 0 1 0 0 0 0 1]       6               0.0s
5                True    [0 0 1 1 0 0 0 0]       [0 0 1 1 0 0 0 0]       7               0.01590108871459961s
6                True    [0 0 0 1 1 0 0 1]       [0 0 0 1 1 0 0 1]       2               0.0s
7                True    [0 0 1 1 0 0 1 1]       [0 0 1 1 0 0 1 1]       1               0.0s
8                True    [0 1 0 0 1 1 0 1]       [0 1 0 0 1 1 0 1]       3               0.0s
9                True    [0 0 1 0 1 1 1 0]       [0 0 1 0 1 1 1 0]       2               0.0s
10               True    [0 0 1 0 1 1 0 0]       [0 0 1 0 1 1 0 0]       4               0.0s
11               True    [1 0 1 0 1 0 1 1]       [1 0 1 0 1 0 1 1]       8               0.015787363052368164s
12               True    [0 0 1 1 0 1 0 1]       [0 0 1 1 0 1 0 1]       5               0.0s
13               True    [0 1 0 0 0 0 1 1]       [0 1 0 0 0 0 1 1]       9               0.01744389533996582s
14               True    [1 0 1 1 1 0 0 1]       [1 0 1 1 1 0 0 1]       5               0.0s
15               True    [1 0 0 1 0 0 1 0]       [1 0 0 1 0 0 1 0]       12              0.014017105102539062s
16               True    [0 1 1 1 1 0 0 1]       [0 1 1 1 1 0 0 1]       165             0.30193519592285156s
17               True    [0 0 0 1 1 1 1 1]       [0 0 0 1 1 1 1 1]       2               0.0s
18               True    [0 1 1 0 0 1 1 0]       [0 1 1 0 0 1 1 0]       114             0.24014687538146973s
19               True    [1 0 0 0 1 1 1 1]       [1 0 0 0 1 1 1 1]       30              0.045300960540771484s
20               True    [1 0 0 0 0 1 1 1]       [1 0 0 0 0 1 1 1]       2               0.0s
Average iterations: 20.142857142857142
Average time: 0.03362256004696801s
